frame,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0,0.5058081746101379,0.15968087315559387,-3.411647319793701,0.9958577752113342,0.530397891998291,0.13638892769813538,-3.3883094787597656,0.9934758543968201,0.5551734566688538,0.13525956869125366,-3.389880418777466,0.9927365779876709,0.5738531351089478,0.1340857446193695,-3.389828681945801,0.9942120909690857,0.47513025999069214,0.13697445392608643,-3.397714376449585,0.9952298402786255,0.45853906869888306,0.1360873281955719,-3.399606466293335,0.9962762594223022,0.43789151310920715,0.13462796807289124,-3.4011433124542236,0.99716717004776,0.6084806323051453,0.12422153353691101,-2.7391903400421143,0.9962096214294434,0.4098787307739258,0.12479296326637268,-2.773052453994751,0.9924678206443787,0.548568606376648,0.17486947774887085,-3.109938859939575,0.9970722198486328,0.4818137288093567,0.17553597688674927,-3.12813401222229,0.9969868063926697,0.8061407804489136,0.18575990200042725,-1.7493988275527954,0.9999260902404785,0.21841628849506378,0.20462661981582642,-2.0450665950775146,0.9998160004615784,0.9030961394309998,0.3037443161010742,-1.3398631811141968,0.8230459094047546,0.1099996268749237,0.36174020171165466,-2.067025899887085,0.9199540019035339,0.8057719469070435,0.396601140499115,-1.7687108516693115,0.5243216753005981,0.48310819268226624,0.3970153331756592,-2.7303099632263184,0.714126467704773,0.758686900138855,0.4301419258117676,-1.9126620292663574,0.4210386276245117,0.580451488494873,0.42369043827056885,-2.9836997985839844,0.5594581365585327,0.7541474103927612,0.4148505628108978,-2.0635149478912354,0.4476913511753082,0.5991706252098083,0.40289485454559326,-3.017347574234009,0.5787613987922668,0.75447678565979,0.40131187438964844,-1.826377034187317,0.3890721797943115,0.5722373723983765,0.3900666832923889,-2.7520856857299805,0.42574912309646606,0.6182034015655518,0.4282570481300354,0.0908159539103508,0.9993731379508972,0.32037580013275146,0.4328206479549408,-0.09136548638343811,0.9994274377822876,0.5907183289527893,0.6267173290252686,-0.5722672343254089,0.6679309010505676,0.39669403433799744,0.6449512243270874,-0.44241368770599365,0.7184323072433472,0.5758807063102722,0.844237208366394,0.20348411798477173,0.7565417885780334,0.45654773712158203,0.8537712097167969,0.19827722012996674,0.826113224029541,0.5522851347923279,0.866233766078949,0.23779705166816711,0.3530617654323578,0.4675452411174774,0.8837583065032959,0.2282796949148178,0.3364829123020172,0.5560445785522461,0.9253009557723999,-0.6382953524589539,0.713821530342102,0.5413838624954224,0.9401217699050903,-0.6712386012077332,0.7455088496208191
1,0.5229691863059998,0.15325982868671417,-3.0132572650909424,0.9954044222831726,0.5528150200843811,0.12938281893730164,-2.95685076713562,0.9929901361465454,0.5747755169868469,0.12811881303787231,-2.9586126804351807,0.992282509803772,0.5970671772956848,0.12682652473449707,-2.9584271907806396,0.9939388036727905,0.4894220530986786,0.1292472928762436,-2.9705350399017334,0.9942946434020996,0.46986493468284607,0.12837141752243042,-2.9723308086395264,0.9952950477600098,0.4501478374004364,0.12727642059326172,-2.973863363265991,0.9963223934173584,0.6220306754112244,0.11961448937654495,-2.2622697353363037,0.9960875511169434,0.422646164894104,0.11951790750026703,-2.310234308242798,0.9901296496391296,0.5619179606437683,0.16833339631557465,-2.7044970989227295,0.996043860912323,0.492346853017807,0.169169083237648,-2.72768497467041,0.994937539100647,0.8129882216453552,0.1882091611623764,-1.463841438293457,0.9999024868011475,0.23204965889453888,0.1882573813199997,-1.6007732152938843,0.9994535446166992,0.8964352011680603,0.32439735531806946,-1.4302538633346558,0.8172529339790344,0.10581477731466293,0.33616217970848083,-1.5192509889602661,0.8899984359741211,0.7749617695808411,0.41377535462379456,-2.3773059844970703,0.535071074962616,0.40692052245140076,0.39703279733657837,-2.139260768890381,0.6844868063926697,0.7197120189666748,0.44309502840042114,-2.642613649368286,0.4412703514099121,0.46765604615211487,0.42890769243240356,-2.3969740867614746,0.538784384727478,0.692821204662323,0.43032822012901306,-2.7427356243133545,0.467661589384079,0.5061125159263611,0.4169899523258209,-2.466052293777466,0.5593055486679077,0.6975960731506348,0.4172128736972809,-2.4301040172576904,0.40258604288101196,0.49103179574012756,0.40455591678619385,-2.1781089305877686,0.41198742389678955,0.6129990220069885,0.44403040409088135,0.057305384427309036,0.9992868900299072,0.32334819436073303,0.44300204515457153,-0.05769596993923187,0.9989838600158691,0.6057125926017761,0.6781361103057861,-0.090439073741436,0.6851966381072998,0.4334351718425751,0.6798356175422668,-0.22269392013549805,0.6912546753883362,0.557727575302124,0.9029627442359924,0.44668206572532654,0.7745987772941589,0.4516843855381012,0.6499117016792297,1.9187549352645874,0.7473638653755188,0.5268095135688782,0.9331226348876953,0.4648398458957672,0.3791170120239258,0.4621482193470001,0.636741578578949,2.140033483505249,0.30803948640823364,0.5380926728248596,0.9681510925292969,-0.2704412043094635,0.7273277044296265,0.4772472083568573,0.6942848563194275,1.9301491975784302,0.6749187707901001
2,0.5252413749694824,0.1502302885055542,-2.3059258460998535,0.995301365852356,0.5575302243232727,0.12579433619976044,-2.2355523109436035,0.9927392601966858,0.5793578624725342,0.12459104508161545,-2.2371084690093994,0.9920303225517273,0.6028838753700256,0.1237202137708664,-2.2368016242980957,0.9937992095947266,0.49621737003326416,0.1258249431848526,-2.2409560680389404,0.9938046932220459,0.47746172547340393,0.12501727044582367,-2.2426931858062744,0.9947795867919922,0.4593028724193573,0.12387941032648087,-2.2441365718841553,0.9959068298339844,0.632055938243866,0.12059057503938675,-1.5774409770965576,0.9959098100662231,0.4367053508758545,0.11949003487825394,-1.5937288999557495,0.9885547161102295,0.5672624707221985,0.16733010113239288,-2.020014524459839,0.9950746893882751,0.49663087725639343,0.16762450337409973,-2.034024715423584,0.9932634830474854,0.8048008680343628,0.2022012621164322,-0.898261308670044,0.9998523592948914,0.25589993596076965,0.18804273009300232,-0.9448397755622864,0.9991215467453003,0.8880109786987305,0.3497829735279083,-0.7989873290061951,0.8171647191047668,0.1004667729139328,0.30989500880241394,-0.6725171804428101,0.8684338927268982,0.7241817712783813,0.42905211448669434,-1.5060241222381592,0.5482436418533325,0.3311062455177307,0.39993196725845337,-1.084287166595459,0.6769518852233887,0.6676830053329468,0.46022242307662964,-1.7130635976791382,0.46160632371902466,0.3818909227848053,0.43440988659858704,-1.2681022882461548,0.5394511222839355,0.6410207152366638,0.4457247853279114,-1.7796810865402222,0.48678815364837646,0.4223354160785675,0.42088308930397034,-1.34919273853302,0.5608158111572266,0.6465820670127869,0.43063417077064514,-1.5375059843063354,0.4174186885356903,0.40849563479423523,0.4070887267589569,-1.1212421655654907,0.42011845111846924,0.6080172657966614,0.47486963868141174,0.0380852147936821,0.9992021322250366,0.3291637599468231,0.4716915786266327,-0.038373809307813644,0.9986268281936646,0.6081016063690186,0.697824239730835,-0.050343532115221024,0.707933783531189,0.44123950600624084,0.7052055597305298,-0.2796207368373871,0.6921377778053284,0.5375537276268005,0.9244651198387146,0.3579203188419342,0.7950668931007385,0.4700569808483124,0.6627993583679199,1.7455253601074219,0.6820546984672546,0.4989392161369324,0.9546986222267151,0.37427017092704773,0.4245155155658722,0.48415324091911316,0.6617903113365173,1.9633456468582153,0.28822556138038635,0.5486230850219727,0.9871851801872253,-0.3473319709300995,0.7485640645027161,0.4638550579547882,0.729904294013977,1.7775812149047852,0.6156537532806396
3,0.5584768652915955,0.15145719051361084,-2.6841421127319336,0.9956945776939392,0.589371919631958,0.12365887314081192,-2.6213700771331787,0.9933513402938843,0.6114951372146606,0.12222764641046524,-2.6229963302612305,0.9927021265029907,0.6365991830825806,0.1214674562215805,-2.6227197647094727,0.9943253993988037,0.5251782536506653,0.12371402978897095,-2.6330063343048096,0.9942965507507324,0.5011885762214661,0.12276842445135117,-2.634800910949707,0.995171844959259,0.48004940152168274,0.12214295566082001,-2.636216163635254,0.9962071180343628,0.664806067943573,0.12098541855812073,-1.9637724161148071,0.9962579011917114,0.4512849748134613,0.11932762712240219,-2.0063705444335938,0.9894185662269592,0.5951608419418335,0.16932709515094757,-2.3960254192352295,0.9953407645225525,0.5292855501174927,0.16986055672168732,-2.417238235473633,0.9936094284057617,0.8318271636962891,0.2124481052160263,-1.2356394529342651,0.9998329281806946,0.2727218568325043,0.18683642148971558,-1.2989779710769653,0.9990058541297913,0.9036588668823242,0.3746308386325836,-0.8188744783401489,0.8183467984199524,0.08366100490093231,0.27324801683425903,-0.8121346235275269,0.8635746836662292,0.6946156024932861,0.43578457832336426,-1.8128758668899536,0.5685909390449524,0.27359139919281006,0.3786560297012329,-0.8636958003044128,0.6786735653877258,0.6433162689208984,0.46142125129699707,-2.028743267059326,0.4884180426597595,0.30986717343330383,0.426228791475296,-0.9828721284866333,0.5441422462463379,0.6229996085166931,0.4469325542449951,-2.0740816593170166,0.5128979086875916,0.35165202617645264,0.4170074760913849,-1.084429144859314,0.5674253106117249,0.6341406106948853,0.4320303797721863,-1.8376197814941406,0.441413938999176,0.3505157232284546,0.3996729254722595,-0.8998427987098694,0.43573513627052307,0.6524766683578491,0.47024789452552795,0.04146173596382141,0.9989579319953918,0.3644741475582123,0.47031721472740173,-0.04177461937069893,0.9979053139686584,0.6829197406768799,0.6986269950866699,-0.08151351660490036,0.7206853032112122,0.4759193956851959,0.7007765173912048,-0.3206713795661926,0.6672977805137634,0.5615739226341248,0.9331871867179871,0.20436957478523254,0.8087648153305054,0.46977698802948,0.6348980665206909,1.553122878074646,0.6167383193969727,0.5132953524589539,0.9584116339683533,0.19369737803936005,0.45109793543815613,0.4679197072982788,0.6212010383605957,1.7559857368469238,0.26368123292922974,0.6090288758277893,0.9986492991447449,-0.4028552770614624,0.7578244209289551,0.46835994720458984,0.6921712160110474,1.6129568815231323,0.5569450259208679
4,0.5652101039886475,0.1499161422252655,-3.3255605697631836,0.9960984587669373,0.5942044854164124,0.12124267965555191,-3.262244939804077,0.9939829707145691,0.6187418103218079,0.11999431252479553,-3.2637875080108643,0.9933980703353882,0.6417758464813232,0.11913536489009857,-3.2632875442504883,0.9948649406433105,0.5341559052467346,0.12097974121570587,-3.2637572288513184,0.9948371648788452,0.5121825933456421,0.11998686194419861,-3.2656404972076416,0.9956265687942505,0.49100932478904724,0.11925750970840454,-3.266974687576294,0.9965629577636719,0.6715126037597656,0.12018425017595291,-2.596345901489258,0.996616780757904,0.4579673707485199,0.11744076758623123,-2.6000990867614746,0.9904360175132751,0.6012902855873108,0.16832242906093597,-3.0366344451904297,0.9957746863365173,0.5372685790061951,0.16820359230041504,-3.047855854034424,0.9942129254341125,0.8332326412200928,0.22016413509845734,-1.8541957139968872,0.9998409152030945,0.2836723029613495,0.18244291841983795,-1.640869140625,0.9990844130516052,0.9054374098777771,0.38505762815475464,-1.7649742364883423,0.8279130458831787,0.07017405331134796,0.2302967756986618,-1.0378166437149048,0.8564220666885376,0.6481896042823792,0.4326959550380707,-2.308591365814209,0.5924668312072754,0.24590487778186798,0.3524876534938812,-0.9437642097473145,0.6852980256080627,0.5832603573799133,0.4565412402153015,-2.498706102371216,0.5170187950134277,0.2721024751663208,0.39819952845573425,-1.0392986536026,0.5550031065940857,0.5607544779777527,0.4378533661365509,-2.562293767929077,0.5395562648773193,0.3097226023674011,0.39437806606292725,-1.137566089630127,0.5786787271499634,0.5837695598602295,0.42614468932151794,-2.333935022354126,0.4661632776260376,0.3129557967185974,0.37802690267562866,-0.9739968180656433,0.4541887640953064,0.6654412746429443,0.4323665499687195,-0.005908895283937454,0.9990161061286926,0.3713458180427551,0.41756948828697205,0.006076698191463947,0.9980517029762268,0.7084916830062866,0.6842331886291504,-0.18807055056095123,0.744376540184021,0.5144883394241333,0.6110562682151794,-0.8528853058815002,0.6929530501365662,0.5965149402618408,0.9131231904029846,0.6163656115531921,0.8261722922325134,0.46489065885543823,0.6707425117492676,1.4227222204208374,0.6240067481994629,0.5585413575172424,0.9379411935806274,0.6683322787284851,0.49131467938423157,0.457649827003479,0.6613588929176331,1.2331181764602661,0.2810693085193634,0.5963593125343323,0.9884013533592224,-0.015802348032593727,0.7789047360420227,0.47173115611076355,0.7703119516372681,0.7295268774032593,0.5682716965675354
5,0.5565814971923828,0.14819736778736115,-3.2106757164001465,0.9964765906333923,0.5844417810440063,0.12114766985177994,-3.1557443141937256,0.9945666193962097,0.6068122982978821,0.11994712799787521,-3.15714430809021,0.9940361976623535,0.6292933225631714,0.11901186406612396,-3.1566641330718994,0.9953606724739075,0.5259293913841248,0.12081949412822723,-3.1543853282928467,0.9953413009643555,0.5043789744377136,0.11994639039039612,-3.1563425064086914,0.996052622795105,0.4831530749797821,0.11918996274471283,-3.1576592922210693,0.996898353099823,0.659361720085144,0.12039286643266678,-2.497037887573242,0.9969397783279419,0.45402511954307556,0.1166619062423706,-2.4959535598754883,0.9913725256919861,0.5918364524841309,0.16690418124198914,-2.921417474746704,0.996182382106781,0.5254452228546143,0.16667789220809937,-2.929849147796631,0.9947789907455444,0.8233602046966553,0.21807505190372467,-1.7146848440170288,0.9998503923416138,0.28475290536880493,0.17530784010887146,-1.5663894414901733,0.9991711974143982,0.9234319925308228,0.3733391761779785,-1.5150151252746582,0.8387225866317749,0.05889701470732689,0.21174438297748566,-0.8653813600540161,0.8610771894454956,0.6663996577262878,0.42735347151756287,-2.1990702152252197,0.6140566468238831,0.2341012954711914,0.3400338590145111,-0.8358571529388428,0.7080876231193542,0.6086083650588989,0.45079103112220764,-2.287271499633789,0.5382184982299805,0.24812911450862885,0.3851768672466278,-0.9335011839866638,0.5848087668418884,0.5891500115394592,0.433218389749527,-2.278944730758667,0.5590724945068359,0.29121869802474976,0.383472740650177,-1.0458996295928955,0.607471227645874,0.6044886112213135,0.42105546593666077,-2.2176451683044434,0.4845077097415924,0.29791033267974854,0.36733779311180115,-0.8732266426086426,0.4908784031867981,0.6699210405349731,0.4283040463924408,-0.00612495606765151,0.9990475177764893,0.3779222369194031,0.408120721578598,0.006177653558552265,0.9982020854949951,0.6943427920341492,0.675137996673584,-0.16318407654762268,0.750925600528717,0.48982125520706177,0.5790603756904602,-1.2702205181121826,0.7179744243621826,0.6352946162223816,0.902701199054718,0.528567910194397,0.8386300802230835,0.4908764958381653,0.768192708492279,-0.4416354298591614,0.6497841477394104,0.614452600479126,0.9263269305229187,0.5651465058326721,0.5134249329566956,0.483783483505249,0.8117781281471252,-0.3899673521518707,0.3115628957748413,0.6166379451751709,0.9796892404556274,-0.4235129952430725,0.7947210073471069,0.5371261835098267,0.8735436201095581,-1.126729130744934,0.5983702540397644
6,0.5473835468292236,0.15120966732501984,-3.2611849308013916,0.9968239068984985,0.5752777457237244,0.12420382350683212,-3.203530788421631,0.9951022267341614,0.5972737073898315,0.12320224940776825,-3.2050364017486572,0.9946235418319702,0.6195258498191833,0.12228000164031982,-3.204596519470215,0.9958170056343079,0.5169467329978943,0.12310222536325455,-3.1987643241882324,0.9958017468452454,0.4962943196296692,0.12167379260063171,-3.20063853263855,0.9964424967765808,0.47562241554260254,0.12003320455551147,-3.2018649578094482,0.9972047209739685,0.6484181880950928,0.12345463037490845,-2.5228865146636963,0.9972384572029114,0.4472561776638031,0.11788266152143478,-2.5041987895965576,0.9922234416007996,0.5838766694068909,0.1707974374294281,-2.962740421295166,0.9965548515319824,0.5187631845474243,0.16877157986164093,-2.967150926589966,0.9952927827835083,0.814805269241333,0.22615963220596313,-1.7456262111663818,0.9998608231544495,0.2778136730194092,0.17261604964733124,-1.5739256143569946,0.9992504715919495,0.9317378997802734,0.3754672706127167,-1.4766569137573242,0.8489447832107544,0.06148940324783325,0.22876682877540588,-0.9058975577354431,0.8677077889442444,0.6732946038246155,0.4466281831264496,-2.055152177810669,0.6330685019493103,0.2470790147781372,0.35304203629493713,-0.8585318326950073,0.7295706272125244,0.6110523343086243,0.4838027358055115,-2.095351457595825,0.5550254583358765,0.2613150477409363,0.39679762721061707,-0.9570276737213135,0.6121779084205627,0.5996277928352356,0.4603486657142639,-2.145974636077881,0.5753337740898132,0.3081750273704529,0.3919238746166229,-1.076249361038208,0.6338930726051331,0.613043487071991,0.4462678134441376,-2.0466883182525635,0.5006844997406006,0.315191388130188,0.375413715839386,-0.8991121053695679,0.5237494111061096,0.6761216521263123,0.4397673010826111,-0.016461538150906563,0.9991006851196289,0.3901048004627228,0.4243323802947998,0.01624413952231407,0.9983597993850708,0.6713321208953857,0.6589195728302002,-0.05000961571931839,0.7417751550674438,0.4743722677230835,0.6164822578430176,-1.0624417066574097,0.7376419305801392,0.6471036672592163,0.8526376485824585,0.8566635251045227,0.8332490921020508,0.5247318148612976,0.8690044283866882,-0.10391750186681747,0.6768296360969543,0.6395950317382812,0.8702728748321533,0.9095801711082458,0.5102707743644714,0.5404861569404602,0.8912324905395508,-0.07451965659856796,0.3431694209575653,0.6192490458488464,0.9449576735496521,0.19023120403289795,0.7951110005378723,0.5534547567367554,0.9578551650047302,-0.8593998551368713,0.6280669569969177
7,0.5280505418777466,0.14674456417560577,-3.2762253284454346,0.9971325397491455,0.5657660365104675,0.12168984115123749,-3.2201507091522217,0.9955781102180481,0.589638888835907,0.12054561078548431,-3.2218124866485596,0.9951462745666504,0.6129701137542725,0.1193871721625328,-3.221450090408325,0.9962230920791626,0.5054294466972351,0.11894431710243225,-3.2143163681030273,0.9962105751037598,0.48635053634643555,0.11621875315904617,-3.2163262367248535,0.9967890977859497,0.4633726179599762,0.11344469338655472,-3.217674970626831,0.99747633934021,0.6386063694953918,0.11920511722564697,-2.5001559257507324,0.9975045919418335,0.4424983859062195,0.11096157878637314,-2.4764389991760254,0.9929752349853516,0.5631543397903442,0.16376100480556488,-2.957010507583618,0.9968854188919067,0.5017451643943787,0.1606363207101822,-2.960491418838501,0.9957490563392639,0.8062675595283508,0.21351586282253265,-1.664326786994934,0.9998710751533508,0.2708701193332672,0.16572785377502441,-1.5275709629058838,0.9993181824684143,0.9249036312103271,0.35731241106987,-1.1735478639602661,0.8624140024185181,0.0691339522600174,0.23087435960769653,-0.9023134708404541,0.8718253970146179,0.7219247221946716,0.4443691670894623,-1.403074026107788,0.6664222478866577,0.2647795081138611,0.3477350175380707,-1.0074167251586914,0.7483417391777039,0.6849285960197449,0.4843933880329132,-1.5165657997131348,0.5921430587768555,0.28698021173477173,0.39222854375839233,-1.125859260559082,0.637090265750885,0.6388775706291199,0.46634095907211304,-1.6544865369796753,0.6111282110214233,0.33065152168273926,0.3859860897064209,-1.2538608312606812,0.6580698490142822,0.6366152763366699,0.4503961205482483,-1.4450544118881226,0.5412205457687378,0.33506491780281067,0.370886892080307,-1.0535383224487305,0.5534003973007202,0.6724487543106079,0.43550586700439453,-0.01409697812050581,0.9991517663002014,0.3913376033306122,0.4129485785961151,0.013706749305129051,0.998491644859314,0.6600794196128845,0.6511457562446594,-0.10773074626922607,0.7474827766418457,0.46404510736465454,0.6236226558685303,-0.8435031175613403,0.7569802403450012,0.6224066019058228,0.8263322710990906,0.7889400720596313,0.8285007476806641,0.5504786372184753,0.883752167224884,-0.11071223020553589,0.7023123502731323,0.6072548627853394,0.8262479901313782,0.8504774570465088,0.5058497190475464,0.5785586833953857,0.9119276404380798,-0.0862046331167221,0.3746083974838257,0.6025040149688721,0.9133234024047852,0.13016651570796967,0.7938992381095886,0.5692112445831299,0.9581971764564514,-0.8943465948104858,0.6555009484291077
8,0.5252200365066528,0.14513008296489716,-2.504051446914673,0.9973114132881165,0.566292405128479,0.12024141848087311,-2.4480035305023193,0.9958219528198242,0.5943353772163391,0.11899587512016296,-2.44974422454834,0.9954271912574768,0.6144771575927734,0.11787578463554382,-2.4497909545898438,0.9964451193809509,0.5014768242835999,0.11777392029762268,-2.4464046955108643,0.9964410066604614,0.48295173048973083,0.11517711728811264,-2.448293924331665,0.9969973564147949,0.45802366733551025,0.11265260726213455,-2.449582815170288,0.9976367950439453,0.6412398815155029,0.11796185374259949,-1.8047258853912354,0.99765545129776,0.44062861800193787,0.11001306027173996,-1.7982065677642822,0.993374764919281,0.5591610074043274,0.16215991973876953,-2.218111753463745,0.9970800280570984,0.4973229169845581,0.15912191569805145,-2.2267725467681885,0.9960625171661377,0.8163488507270813,0.21046912670135498,-1.152276635169983,0.9998775124549866,0.2693137228488922,0.1664542853832245,-1.073603868484497,0.9993755221366882,0.9376813769340515,0.35270771384239197,-0.7073593735694885,0.8734344840049744,0.07362879812717438,0.2710907459259033,-0.8765947818756104,0.875654399394989,0.7854419350624084,0.4423083961009979,-0.9583969712257385,0.6914383172988892,0.27988865971565247,0.38212645053863525,-1.2722984552383423,0.7593140602111816,0.7479367256164551,0.4841817021369934,-1.0736452341079712,0.6180692911148071,0.30917176604270935,0.4196201264858246,-1.4155092239379883,0.6527646780014038,0.6947728991508484,0.4706732928752899,-1.2089142799377441,0.6361021399497986,0.35135576128959656,0.4095785915851593,-1.517714500427246,0.6729195713996887,0.6923375129699707,0.4547428786754608,-1.004286527633667,0.5697455406188965,0.3524700701236725,0.3957059681415558,-1.309876799583435,0.5719500780105591,0.6869457364082336,0.46061378717422485,-0.006870510056614876,0.9992199540138245,0.40303051471710205,0.4419460892677307,0.006524320226162672,0.998633623123169,0.6332432627677917,0.6753054261207581,-0.12140412628650665,0.750201404094696,0.4698176681995392,0.64988112449646,-0.5503956079483032,0.7779676914215088,0.5230108499526978,0.7581102252006531,1.6515378952026367,0.7645944952964783,0.5663449168205261,0.8949684500694275,-0.24020738899707794,0.7281771302223206,0.48630398511886597,0.7572751641273499,1.8149867057800293,0.46667221188545227,0.6010476350784302,0.9312660694122314,-0.24038073420524597,0.4110906422138214,0.46158716082572937,0.8605243563652039,1.514654517173767,0.7300779819488525,0.5742040872573853,0.9640339016914368,-0.9268845915794373,0.6794578433036804
9,0.5164947509765625,0.14564360678195953,-2.403622627258301,0.9975075721740723,0.5567702054977417,0.12052652984857559,-2.3346002101898193,0.9961092472076416,0.5856894850730896,0.11924539506435394,-2.3363735675811768,0.9957466721534729,0.6060768961906433,0.11826460063457489,-2.3365118503570557,0.9966784119606018,0.49184828996658325,0.11864427477121353,-2.349303960800171,0.9967338442802429,0.47036153078079224,0.11624345183372498,-2.3512089252471924,0.9972565770149231,0.4463024437427521,0.11411241441965103,-2.35270094871521,0.9978421330451965,0.628902018070221,0.11898839473724365,-1.6621646881103516,0.9978119730949402,0.4320661425590515,0.11165563762187958,-1.7286239862442017,0.9939550757408142,0.5492704510688782,0.16352221369743347,-2.110089063644409,0.9972901940345764,0.48492079973220825,0.16079330444335938,-2.139023542404175,0.9964041709899902,0.8043777346611023,0.20616818964481354,-0.9779143333435059,0.9998742341995239,0.24743960797786713,0.2038288116455078,-1.0860637426376343,0.999432384967804,0.9301679134368896,0.3242690861225128,-0.4133617579936981,0.8680934309959412,0.07514459639787674,0.34679287672042847,-0.9744591116905212,0.8818908333778381,0.8453244566917419,0.4478386342525482,-0.5604873895645142,0.6756908893585205,0.28244253993034363,0.42096075415611267,-1.5165884494781494,0.7772479057312012,0.8238827586174011,0.477577269077301,-0.6425278186798096,0.6011714339256287,0.3384898602962494,0.4507230222225189,-1.719130516052246,0.6775847673416138,0.783692479133606,0.4630527198314667,-0.7880029678344727,0.6193066239356995,0.37318265438079834,0.43124085664749146,-1.7639622688293457,0.6962987184524536,0.7689822912216187,0.44798246026039124,-0.6104117035865784,0.5559865832328796,0.3595942556858063,0.4178696274757385,-1.5422698259353638,0.5996740460395813,0.7017495036125183,0.4685802757740021,-0.004360559396445751,0.9992856979370117,0.4040931761264801,0.4612217843532562,0.0037735954392701387,0.9987668991088867,0.6265843510627747,0.708267867565155,-0.11925163120031357,0.7634595036506653,0.46377673745155334,0.6992699503898621,-0.20141637325286865,0.7984018325805664,0.4934576451778412,0.6683946251869202,1.8486328125,0.704122006893158,0.5654018521308899,0.9127856492996216,0.1778925508260727,0.7527205348014832,0.4763462245464325,0.6448478698730469,2.044235944747925,0.43280503153800964,0.6133196353912354,0.9406245350837708,0.1503356546163559,0.4509812593460083,0.36485040187835693,0.7199853658676147,1.8647550344467163,0.6716945171356201,0.5760631561279297,0.9842581152915955,-0.3688516914844513,0.7029473185539246
